Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-06-10,Beau Travail,1999,https://boxd.it/6E9qhD,3,,,2024-06-09
2024-06-11,Summer of 85,2020,https://boxd.it/6ExiRL,3,,,2024-06-10
2024-06-11,A Distant Place,2020,https://boxd.it/6EIxor,4,,,2024-06-10
2024-06-11,Paris Is Burning,1990,https://boxd.it/6EJTxR,5,Yes,,2024-06-10
2024-06-12,The Birdcage,1996,https://boxd.it/6F7t19,3,,,2024-06-11
2024-06-14,"Greetings from Washington, D.C.",1981,https://boxd.it/6FFQlJ,,,criterion channel,2024-06-13
2024-06-14,Shakedown,2018,https://boxd.it/6FGjWJ,,,criterion channel,2024-06-13
2024-06-16,"Merry Christmas, Mr. Lawrence",1983,https://boxd.it/6Guxrb,3,,criterion channel,2024-06-15
2024-06-18,Children Who Chase Lost Voices,2011,https://boxd.it/6HqJyz,3.5,,criterion channel,2024-06-17
2024-06-18,Flee,2021,https://boxd.it/6Hs5Gd,4.5,,,2024-06-17
2024-06-21,The Heroic Trio,1993,https://boxd.it/6Ixcfx,,,"dnf, with kate but she fell asleep, criterion channel",2024-06-17
2024-06-20,Voices of a Distant Star,2002,https://boxd.it/6IaLil,2,,criterion channel,2024-06-18
2024-06-20,Rope,1948,https://boxd.it/6IbElz,4.5,,,2024-06-19
2024-06-20,Beach Rats,2017,https://boxd.it/6IcEdx,3,,,2024-06-19
2024-06-21,Flores,2017,https://boxd.it/6Im2X3,5,,criterion channel,2024-06-20
2024-06-21,Tropical Malady,2004,https://boxd.it/6IxjsN,3.5,,,2024-06-20
2024-06-23,House,1977,https://boxd.it/6JmKut,5,,criterion channel,2024-06-22
2024-06-25,Swoon,1992,https://boxd.it/6Kcgfd,3,,"on film, academy museum",2024-06-24
2024-06-27,The Boys in the Band,1970,https://boxd.it/6KWOgV,4,,,2024-06-26
2024-06-28,The Living End,1992,https://boxd.it/6LheRX,4.5,,"on film, academy museum, q&a",2024-06-27
2024-06-30,Problemista,2023,https://boxd.it/6M6pW7,3,,,2024-06-29
2024-07-02,Fox and His Friends,1975,https://boxd.it/6MJnFB,4,,criterion channel,2024-07-01
2024-07-03,Weekend,2011,https://boxd.it/6NmmzZ,4,,criterion channel,2024-07-02
2024-07-04,Mishima: A Life in Four Chapters,1985,https://boxd.it/6NR3eP,5,,criterion channel,2024-07-03
2024-07-05,Nowhere,1997,https://boxd.it/6Obrt5,,,criterion channel,2024-07-04
2024-07-11,Women on the Verge of a Nervous Breakdown,1988,https://boxd.it/6QPV8p,4.5,,"with kate, with taylor, criterion",2024-07-10
2024-07-11,Y Tu Mamá También,2001,https://boxd.it/6QT6dL,4,,"with kate, with taylor, criterion",2024-07-10
2024-07-13,Tie Me Up! Tie Me Down!,1989,https://boxd.it/6RIELf,2.5,,"criterion channel, on plane",2024-07-12
2024-07-16,The Apartment,1960,https://boxd.it/6SX2Gb,,,criterion channel,2024-07-15
2024-07-16,The Servant,1963,https://boxd.it/6Tdbip,4,,,2024-07-15
2024-07-17,Daisies,1966,https://boxd.it/6TAFDN,,,,2024-07-16
2024-07-19,Blow Out,1981,https://boxd.it/6UwBGp,4,,criterion channel,2024-07-18
2024-07-21,Sunset Boulevard,1950,https://boxd.it/6V40DB,4.5,,,2024-07-19
2024-07-21,The Lady Eve,1941,https://boxd.it/6VoHUZ,4.5,,,2024-07-20
2024-07-23,National Anthem,2023,https://boxd.it/6Wjl8N,4,,in theaters,2024-07-22
2024-07-23,Double Indemnity,1944,https://boxd.it/6WnMPx,,,,2024-07-22
2024-07-25,Charade,1963,https://boxd.it/6XidrJ,4.5,,with kate,2024-07-24
2024-07-26,All About Eve,1950,https://boxd.it/6XK7VT,5,,,2024-07-25
2024-07-27,Vertigo,1958,https://boxd.it/6Y9DTP,5,,"in theaters, on film, cinematheque, aero theater",2024-07-26
2024-07-27,My Beautiful Laundrette,1985,https://boxd.it/6YcwSh,3.5,,,2024-07-26
2024-07-28,The Philadelphia Story,1940,https://boxd.it/6Yvdgr,3,,,2024-07-27
2024-07-29,Sweet Smell of Success,1957,https://boxd.it/6YZC09,,,criterion channel,2024-07-28
2024-07-29,The Red Shoes,1948,https://boxd.it/6ZatRP,,,criterion channel,2024-07-28
2024-07-31,The Perks of Being a Wallflower,2012,https://boxd.it/701EeZ,,Yes,"with kate, with taylor",2024-07-30
2024-08-01,Vive L'Amour,1994,https://boxd.it/70oiZb,4,,"with taylor, in theaters, cinematheque, aero theater, q&a",2024-07-31
2024-08-02,All About Eve,1950,https://boxd.it/70O38j,5,Yes,"with taylor, criterion",2024-08-01
2024-08-04,Singin' in the Rain,1952,https://boxd.it/71sYtt,,,with taylor,2024-08-03
2024-08-06,Totally F***ed Up,1993,https://boxd.it/72watZ,4,,with taylor,2024-08-05
2024-08-10,Dìdi (弟弟),2024,https://boxd.it/74f9kV,4.5,,"with kate, in theaters",2024-08-09
2024-08-17,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/77aYGv,3.5,,,2024-08-16
2024-08-17,The Lord of the Rings: The Two Towers,2002,https://boxd.it/77p6DH,3,,,2024-08-16
2024-08-18,The Lord of the Rings: The Return of the King,2003,https://boxd.it/77RafP,3.5,,,2024-08-17
2024-08-18,The Celluloid Closet,1995,https://boxd.it/77UbAl,,,,2024-08-17
2024-08-19,Cat on a Hot Tin Roof,1958,https://boxd.it/78v9i9,3.5,,,2024-08-18
2024-08-19,Strange Way of Life,2023,https://boxd.it/78vLm9,3,,,2024-08-18
2024-08-20,Victim,1961,https://boxd.it/78PAiZ,4,,criterion channel,2024-08-19
2024-08-23,Death on the Nile,1978,https://boxd.it/7a6IFv,3.5,,,2024-08-22
2024-08-23,Ball of Fire,1941,https://boxd.it/7acXpJ,4,,with kate,2024-08-22
2024-08-25,The Watermelon Woman,1996,https://boxd.it/7b6mn9,4.5,,,2024-08-24
2024-08-25,Tea and Sympathy,1956,https://boxd.it/7bbyoN,4.5,,,2024-08-24
2024-08-26,To Sleep with Anger,1990,https://boxd.it/7bJ1HZ,4,,,2024-08-25
2024-08-28,Cure,1997,https://boxd.it/7cDx7B,5,,"with kate, with kathy, criterion channel",2024-08-27
2024-08-30,Pecker,1998,https://boxd.it/7dronP,4,,criterion channel,2024-08-29
2024-08-31,Beetlejuice,1988,https://boxd.it/7dRs6v,4,,,2024-08-30
2024-09-01,The Daytrippers,1996,https://boxd.it/7eo1M1,3,,with kate,2024-08-31
2024-09-07,Mysterious Skin,2004,https://boxd.it/7h3Ykl,5,,"brain dead studios, in theaters",2024-09-06
2024-09-12,Beetlejuice Beetlejuice,2024,https://boxd.it/7jmW7l,3.5,,in theaters,2024-09-11
2024-09-14,Elvira: Mistress of the Dark,1988,https://boxd.it/7kcK7d,,,,2024-09-13
2024-09-25,Death Becomes Her,1992,https://boxd.it/7p6VQ7,,Yes,with kate,2024-09-24
2024-09-25,Elvira: Mistress of the Dark,1988,https://boxd.it/7p8SCl,,Yes,with kate,2024-09-24
2024-09-28,The Princess Bride,1987,https://boxd.it/7qcFCT,,,with kate,2024-09-27
2024-09-30,Rotting in the Sun,2023,https://boxd.it/7roIPp,3.5,,,2024-09-29
2024-10-01,Maurice's Bar,2023,https://boxd.it/7rMuqX,,,,2024-09-30
2024-10-05,The Boy and the Heron,2023,https://boxd.it/7tjmXz,4.5,Yes,,2024-10-04
2024-10-06,Suspiria,1977,https://boxd.it/7u8eg5,4,,criterion channel,2024-10-05
2024-10-09,Megalopolis,2024,https://boxd.it/7vyjVD,1.5,,in theaters,2024-10-08
2024-10-13,X-Men,2000,https://boxd.it/7xtLhf,3.5,,,2024-10-12
2024-10-13,Monster,2023,https://boxd.it/7xyCpT,5,,,2024-10-12
2024-10-14,Fresh Kill,1994,https://boxd.it/7y9quB,,,"in theaters, q&a, brain dead studios",2024-10-13
2024-10-19,X2,2003,https://boxd.it/7AnrwJ,4,,,2024-10-18
2024-10-19,Jennifer's Body,2009,https://boxd.it/7Avng9,3.5,,,2024-10-18
2024-10-20,X-Men: The Last Stand,2006,https://boxd.it/7B5H1P,2.5,,,2024-10-19
2024-10-22,Anora,2024,https://boxd.it/7Cj6n7,4,,"with kate, in theaters",2024-10-21
2024-10-23,Smile 2,2024,https://boxd.it/7CHg51,3.5,,"with kate, in theaters, with kathy",2024-10-22
2024-10-25,X-Men: First Class,2011,https://boxd.it/7DD90z,3,,,2024-10-24
2024-10-28,X-Men: Days of Future Past,2014,https://boxd.it/7FjX8L,4,,,2024-10-27
2024-10-29,Logan,2017,https://boxd.it/7FRtQV,4,,,2024-10-28
2024-10-30,Poison,1991,https://boxd.it/7GiJHT,3,,,2024-10-29
2024-11-01,The Addams Family,1991,https://boxd.it/7HnOK3,3.5,,,2024-10-31
2024-11-02,Pleasantville,1998,https://boxd.it/7HWDjv,,,with kate,2024-11-01
2024-11-03,A Real Pain,2024,https://boxd.it/7IvbTZ,4.5,,"in theaters, q&a",2024-11-02
2024-11-05,The Wild Robot,2024,https://boxd.it/7JFbzf,4,,"with kate, in theaters",2024-11-04
2024-11-16,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/7OVxBJ,2,Yes,with kate,2024-11-11
2024-11-16,Conclave,2024,https://boxd.it/7OTC7P,4,,in theaters,2024-11-15
2024-11-16,Look Back,2024,https://boxd.it/7OVybR,3,,,2024-11-15
2024-11-17,The Wizard of Oz,1939,https://boxd.it/7PnM3t,,Yes,,2024-11-16
2024-11-17,Deadpool & Wolverine,2024,https://boxd.it/7Pukif,4,,,2024-11-16
2024-11-19,Hercules,1997,https://boxd.it/7QzDZV,,Yes,"with kate, with kathy",2024-11-18
2024-11-21,Pirated!,2000,https://boxd.it/7RvosX,,,criterion channel,2024-11-20
2024-11-21,Gay USA,1977,https://boxd.it/7RvoJf,,,criterion channel,2024-11-20
2024-11-24,The Marvels,2023,https://boxd.it/7SMiI9,4,Yes,with kate,2024-11-23
2024-11-25,Ghost World,2001,https://boxd.it/7TFQQ7,3.5,,,2024-11-24
2024-11-26,The Worst Person in the World,2021,https://boxd.it/7U9l1H,4.5,Yes,with kate,2024-11-25
2024-11-27,Wicked,2024,https://boxd.it/7UnZSf,4.5,,"with kate, in theaters, in imax",2024-11-26
2024-12-01,Queer,2024,https://boxd.it/7WDglb,3.5,,"in theaters, on film, vista theater",2024-11-30
2024-12-03,Wicked,2024,https://boxd.it/7Xsf91,4.5,Yes,"with kate, in theaters, in 3D",2024-12-01
2024-12-03,Female Trouble,1974,https://boxd.it/7XtbKz,,,"criterion channel, dnf",2024-12-02
2024-12-03,Funny Girl,1968,https://boxd.it/7XJn6X,3.5,,,2024-12-02
2024-12-04,"What's Up, Doc?",1972,https://boxd.it/7Y8vE9,3,,with kate,2024-12-03
2024-12-06,Bent,1997,https://boxd.it/7YYwAh,3.5,,,2024-12-05
2024-12-06,The Young Girls of Rochefort,1967,https://boxd.it/7Z1cTJ,,,criterion channel,2024-12-05
