Watched Date,Film,Released,My Rating,Rewatch
2024-08-22,Death on the Nile,1978,3.5,False
2024-08-22,Ball of Fire,1941,4.0,False
2024-08-24,The Watermelon Woman,1996,4.5,False
2024-08-24,Tea and Sympathy,1956,4.5,False
2024-08-25,To Sleep with Anger,1990,4.0,False
2024-08-27,Cure,1997,5.0,False
2024-08-29,Pecker,1998,4.0,False
2024-08-30,Beetlejuice,1988,4.0,False
2024-08-31,The Daytrippers,1996,3.0,False
2024-09-06,Mysterious Skin,2004,5.0,False
2024-09-11,Beetlejuice Beetlejuice,2024,3.5,False
2024-09-13,Elvira: Mistress of the Dark,1988,,False
2024-09-24,Death Becomes Her,1992,,True
2024-09-24,Elvira: Mistress of the Dark,1988,,True
2024-09-27,The Princess Bride,1987,,False
2024-09-29,Rotting in the Sun,2023,3.5,False
2024-09-30,Maurice's Bar,2023,,False
2024-10-04,The Boy and the Heron,2023,4.5,True
2024-10-05,Suspiria,1977,4.0,False
2024-10-08,Megalopolis,2024,1.5,False
2024-10-12,Monster,2023,5.0,False
2024-10-12,X-Men,2000,3.5,False
2024-10-13,Fresh Kill,1994,,False
2024-10-18,X2,2003,4.0,False
2024-10-18,Jennifer's Body,2009,3.5,False
2024-10-19,X-Men: The Last Stand,2006,2.5,False
2024-10-21,Anora,2024,4.0,False
2024-10-22,Smile 2,2024,3.5,False
2024-10-24,X-Men: First Class,2011,3.0,False
2024-10-27,X-Men: Days of Future Past,2014,4.0,False
2024-10-28,Logan,2017,4.0,False
2024-10-29,Poison,1991,3.0,False
2024-10-31,The Addams Family,1991,3.5,False
2024-11-01,Pleasantville,1998,,False
2024-11-02,A Real Pain,2024,4.5,False
2024-11-04,The Wild Robot,2024,4.0,False
2024-11-11,Doctor Strange in the Multiverse of Madness,2022,2.0,True
2024-11-15,Conclave,2024,4.0,False
2024-11-15,Look Back,2024,3.0,False
2024-11-16,The Wizard of Oz,1939,,True
2024-11-16,Deadpool & Wolverine,2024,4.0,False
2024-11-18,Hercules,1997,,True
2024-11-20,Gay USA,1977,,False
2024-11-20,Pirated!,2000,,False
2024-11-23,The Marvels,2023,4.0,True
2024-11-24,Ghost World,2001,3.5,False
2024-11-25,The Worst Person in the World,2021,4.5,True
2024-11-26,Wicked,2024,4.5,False
2024-11-30,Queer,2024,3.5,False
2024-12-01,Wicked,2024,4.5,True
2024-12-02,Female Trouble,1974,,False
2024-12-02,Funny Girl,1968,3.5,False
2024-12-03,"What's Up, Doc?",1972,3.0,False
2024-12-05,Bent,1997,3.5,False
2024-12-05,The Young Girls of Rochefort,1967,,False
2024-12-07,Gladiator II,2024,3.5,False
2024-12-09,Flow,2024,3.5,False
2024-12-10,Paragraph 175,2000,,False
2024-12-10,Warsha,2022,,False
2024-12-10,Goodbye Jerome!,2021,,False
2024-12-12,Fireworks,1947,,False
2024-12-13,Parting Glances,1986,4.0,False
2024-12-14,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003,,False
2024-12-15,Serial Mom,1994,4.0,False
2024-12-19,Election,1999,3.5,False
2024-12-22,Strangers on a Train,1951,4.0,False
2024-12-22,North by Northwest,1959,4.0,False
2024-12-25,Blade,1998,5.0,False
2024-12-26,The Phantom of the Opera,2004,3.5,False
2024-12-28,Daredevil,2003,3.0,False
2024-12-30,The Brutalist,2024,4.5,False
2024-12-31,Elektra,2005,1.5,False
2025-01-01,Phantom Thread,2017,4.5,False
2025-01-02,Hairspray,2007,5.0,False
2025-01-07,Isaac,2019,3.0,False
2025-01-09,The Last Suit,2017,4.0,False
2025-01-10,The Substance,2024,3.5,False
2025-01-15,The Imaginary,2023,3.5,False
2025-01-16,Mulholland Drive,2001,4.0,False
2025-01-18,Marvel Studios Assembled: The Making of X-Men '97,2024,,False
2025-01-18,I Saw the TV Glow,2024,3.0,False
2025-01-20,Kubo and the Two Strings,2016,4.0,False
2025-01-22,The Living End,1992,4.5,True
2025-01-23,"Hello, Dolly!",1969,3.5,False
2025-01-29,A Real Pain,2024,4.5,True
2025-02-01,Some Like It Hot,1959,,True
2025-02-01,The Bee Gees: How Can You Mend a Broken Heart,2020,,True
2025-02-02,Harakiri,1962,5.0,False
2025-02-02,Saturday Night Fever,1977,2.0,False
2025-02-03,The Fifth Element,1997,3.0,False
2025-02-03,A Real Pain,2024,4.5,True
2025-02-20,Supermarket Woman,1996,4.5,False
2025-02-24,High and Low,1963,,False
2025-02-26,Ryuichi Sakamoto: Opus,2023,,False
2025-03-01,Good Morning,1959,4.0,False
2025-03-02,Shinjuku Boys,1995,,False
2025-03-03,Demon Pond,1979,3.5,False
2025-03-05,Amarcord,1973,,False
2025-03-07,Woman in Witness Protection,1997,4.0,False
2025-03-07,Down with Love,2003,4.5,False
2025-03-08,No Other Land,2024,5.0,False
2025-03-12,A Special Day,1977,,False
2025-03-18,Robot Dreams,2023,5.0,False
2025-03-19,Crossing Delancey,1988,3.5,False
2025-03-19,That Old Dream That Moves,2001,3.0,False
2025-03-22,Moonstruck,1987,3.5,False
2025-03-23,Cleaners,2019,5.0,False
2025-04-01,Dog Day Afternoon,1975,4.0,False
2025-04-02,Wings of Desire,1987,3.0,False
2025-04-09,Cabaret,1972,5.0,False
2025-04-10,"One, Two, Three",1961,4.0,False
2025-04-12,Fräulein Else,1929,,False
2025-04-23,Conclave,2024,4.0,True
2025-04-27,Robot Dreams,2023,4.5,True
2025-05-04,Thunderbolts*,2025,3.5,False
